Title	Est Days Remaining History	Status	Removed Work (Previously Tracked)
improved-score-entry\play-screen		Could Do	
easter-egg-bug\misc		Could Do	
add-game-duration-to-all-games\home-screen		Could Do	
winning-sequences-improvements\home-screen		Could Do	
most-fifteens-fun-fact\home-screen		Could Do	
low-scores-fun-fact\home-screen		Could Do	
consider-removing-returned-dice\misc		Could Do	
actual-game-play\crazy-idea	2023-08-04 20, 2023-08-03 10	Done	Removed
clone-and-ensure-running\getting-started	2023-08-04 0.5	To Do	
initial-estimates\getting-started	2023-08-04 0.25	To Do	
tracking-spreadsheet\getting-started	2023-08-05 0, 20203-08-04 0.25	Done	